#queryIndex,queryItem,stringId,preferredName,annotation
137,CCN3,9606.ENSP00000259526,CCN3,"CCN family member 3; Immediate-early protein playing a role in various cellular processes including proliferation, adhesion, migration, differentiation and survival. Acts by binding to integrins or membrane receptors such as NOTCH1. Essential regulator of hematopoietic stem and progenitor cell function. Inhibits myogenic differentiation through the activation of Notch-signaling pathway. Inhibits vascular smooth muscle cells proliferation by increasing expression of cell-cycle regulators such as CDKN2B or CDKN1A independently of TGFB1 signaling. Ligand of integrins ITGAV:ITGB3 and ITGA5 [...] "
138,CXCR3,9606.ENSP00000362795,CXCR3,"C-X-C chemokine receptor type 3; [Isoform 1]: Receptor for the C-X-C chemokine CXCL9, CXCL10 and CXCL11 and mediates the proliferation, survival and angiogenic activity of human mesangial cells (HMC) through a heterotrimeric G- protein signaling pathway. Binds to CCL21. Probably promotes cell chemotaxis response. [Isoform 3]: Mediates the activity of CXCL11."
139,GPR15,9606.ENSP00000284311,GPR15,G-protein coupled receptor 15; Probable chemokine receptor. Alternative coreceptor with CD4 for HIV-1 infection; Belongs to the G-protein coupled receptor 1 family.
140,PGF,9606.ENSP00000451040,PGF,"Placenta growth factor; Growth factor active in angiogenesis and endothelial cell growth, stimulating their proliferation and migration. It binds to the receptor FLT1/VEGFR-1. Isoform PlGF-2 binds NRP1/neuropilin-1 and NRP2/neuropilin-2 in a heparin-dependent manner. Also promotes cell tumor growth."
141,VEGFC,9606.ENSP00000480043,VEGFC,"Vascular endothelial growth factor C; Growth factor active in angiogenesis, and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels. May function in angiogenesis of the venous and lymphatic vascular systems during embryogenesis, and also in the maintenance of differentiated lymphatic endothelium in adults. Binds and activates KDR/VEGFR2 and FLT4/VEGFR3 receptors."
142,MEOX2,9606.ENSP00000262041,MEOX2,"Homeobox protein MOX-2; Mesodermal transcription factor that plays a key role in somitogenesis and is required for sclerotome development (By similarity). Activates expression of CDKN1A and CDKN2A in endothelial cells, acting as a regulator of vascular cell proliferation. While it activates CDKN1A in a DNA-dependent manner, it activates CDKN2A in a DNA-independent manner. May have a regulatory role when quiescent vascular smooth muscle cells reenter the cell cycle."
143,MMP14,9606.ENSP00000308208,MMP14,Matrix metalloproteinase-14; Endopeptidase that degrades various components of the extracellular matrix such as collagen. Activates progelatinase A. Essential for pericellular collagenolysis and modeling of skeletal and extraskeletal connective tissues during development (By similarity). May be involved in actin cytoskeleton reorganization by cleaving PTK7. Acts as a positive regulator of cell growth and migration via activation of MMP15. Involved in the formation of the fibrovascular tissues in association with pro-MMP2. Cleaves ADGRB1 to release vasculostatin-40 which inhibits angiog [...] 
144,BCAM,9606.ENSP00000270233,BCAM,Basal cell adhesion molecule; Laminin alpha-5 receptor. May mediate intracellular signaling.
145,PRKX,9606.ENSP00000262848,PRKX,"cAMP-dependent protein kinase catalytic subunit PRKX; Serine/threonine protein kinase regulated by and mediating cAMP signaling in cells. Acts through phosphorylation of downstream targets that may include CREB, SMAD6 and PKD1 and has multiple functions in cellular differentiation and epithelial morphogenesis. Regulates myeloid cell differentiation through SMAD6 phosphorylation. Involved in nephrogenesis by stimulating renal epithelial cell migration and tubulogenesis. Also involved in angiogenesis through stimulation of endothelial cell proliferation, migration and vascular- like stru [...] "
146,JAK3,9606.ENSP00000432511,JAK3,"Tyrosine-protein kinase JAK3; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, or differentiation. Mediates essential signaling events in both innate and adaptive immunity and plays a crucial role in hematopoiesis during T-cells development. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors sharing the common subunit gamma such as IL2R, IL4R, IL7R, IL9R, IL15R and IL21R. Following ligand binding to cell surface receptors, phosphorylates specific tyrosine residues on the cytoplasmic tails o [...] "
147,VAV2,9606.ENSP00000360916,VAV2,Guanine nucleotide exchange factor VAV2; Guanine nucleotide exchange factor for the Rho family of Ras- related GTPases. Plays an important role in angiogenesis. Its recruitment by phosphorylated EPHA2 is critical for EFNA1-induced RAC1 GTPase activation and vascular endothelial cell migration and assembly (By similarity).
148,EFNB2,9606.ENSP00000493716,EFNB2,"Ephrin-B2; Cell surface transmembrane ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Binds to receptor tyrosine kinase including EPHA4, EPHA3 an [...] "
149,EPHB3,9606.ENSP00000332118,EPHB3,"Ephrin type-B receptor 3; Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Generally has an overlapping and redundant function with EPHB2. Like EPHB2, functions in axon guidance during development regulating for instance the neurons forming the corpus callosum and  [...] "
150,EPHB4,9606.ENSP00000350896,EPHB4,"Ephrin type-B receptor 4; Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Together with its cognate ligand/functional ligand EFNB2 it is involved in the regulation of cell adhesion and migration, and plays a central role in heart morphogenesis, angiogenesis and bl [...] "
151,EPHB1,9606.ENSP00000381097,EPHB1,"Ephrin type-B receptor 1; Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Cognate/functional ephrin ligands for this receptor include EFNB1, EFNB2 and EFNB3. During nervous system development, regulates retinal axon guidance redirecting ipsilaterally ventrotempora [...] "
152,PKNOX1,9606.ENSP00000291547,PKNOX1,Homeobox protein PKNOX1; Activates transcription in the presence of PBX1A and HOXA1.
153,TBX4,9606.ENSP00000495986,TBX4,T-box transcription factor TBX4; Involved in the transcriptional regulation of genes required for mesoderm differentiation. Probably plays a role in limb pattern formation.
154,PROK1,9606.ENSP00000271331,PROK1,"Prokineticin-1; Potently contracts gastrointestinal (GI) smooth muscle. Induces proliferation, migration and fenestration (the formation of membrane discontinuities) in capillary endothelial cells derived from endocrine glands. Has little or no effect on a variety of other endothelial and non-endothelial cell types. Induces proliferation and differentiation, but not migration, of enteric neural crest cells. Directly influences neuroblastoma progression by promoting the proliferation and migration of neuroblastoma cells. Positively regulates PTGS2 expression and prostaglandin synthesis. [...] "
155,NRXN1,9606.ENSP00000385142,NRXN1,"Neurexin-1; Cell surface protein involved in cell-cell-interactions, exocytosis of secretory granules and regulation of signal transmission. Function is isoform-specific. Alpha-type isoforms have a long N- terminus with six laminin G-like domains and play an important role in synaptic signal transmission. Alpha-type isoforms play a role in the regulation of calcium channel activity and Ca(2+)-triggered neurotransmitter release at synapses and at neuromuscular junctions. They play an important role in Ca(2+)-triggered exocytosis of secretory granules in pituitary gland. They may effect  [...] "
156,MINAR2,9606.ENSP00000454268,MINAR2,Major intrinsically disordered NOTCH2-binding receptor 1-like; Membrane integral NOTCH2 associated receptor 2.
157,HAND2,9606.ENSP00000352565,HAND2,"Heart- and neural crest derivatives-expressed protein 2; Essential for cardiac morphogenesis, particularly for the formation of the right ventricle and of the aortic arch arteries. Required for vascular development and regulation of angiogenesis, possibly through a VEGF signaling pathway. Plays also an important role in limb development, particularly in the establishment of anterior- posterior polarization, acting as an upstream regulator of sonic hedgehog (SHH) induction in the limb bud. Is involved in the development of branchial arches, which give rise to unique structures in the he [...] "
158,RHOB,9606.ENSP00000272233,RHOB,Rho-related GTP-binding protein RhoB; Mediates apoptosis in neoplastically transformed cells after DNA damage. Not essential for development but affects cell adhesion and growth factor signaling in transformed cells. Plays a negative role in tumorigenesis as deletion causes tumor formation. Involved in intracellular protein trafficking of a number of proteins. Targets PKN1 to endosomes and is involved in trafficking of the EGF receptor from late endosomes to lysosomes. Also required for stability and nuclear trafficking of AKT1/AKT which promotes endothelial cell survival during vascul [...] 
159,YWHAZ,9606.ENSP00000379287,YWHAZ,"14-3-3 protein zeta/delta; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner. Induces ARHGEF7 activity on RAC1 as well as lamellipodia and membrane ruffle formation. In neurons, regulates spine maturation through the modulation of ARHGEF7 activity (By similarity). Belongs to the 14-3-3 family."
160,ACTG1,9606.ENSP00000458162,ACTG1,"Actin, cytoplasmic 2, N-terminally processed; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells."
161,ADAM8,9606.ENSP00000453302,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8; Possible involvement in extravasation of leukocytes.
162,SRPK2,9606.ENSP00000377262,SRPK2,"SRSF protein kinase 2 C-terminal; Serine/arginine-rich protein-specific kinase which specifically phosphorylates its substrates at serine residues located in regions rich in arginine/serine dipeptides, known as RS domains and is involved in the phosphorylation of SR splicing factors and the regulation of splicing. Promotes neuronal apoptosis by up-regulating cyclin-D1 (CCND1) expression. This is done by the phosphorylation of SRSF2, leading to the suppression of p53/TP53 phosphorylation thereby relieving the repressive effect of p53/TP53 on cyclin-D1 (CCND1) expression. Phosphorylates  [...] "
163,JAG1,9606.ENSP00000254958,JAG1,Protein jagged-1; Ligand for multiple Notch receptors and involved in the mediation of Notch signaling. May be involved in cell-fate decisions during hematopoiesis. Seems to be involved in early and late stages of mammalian cardiovascular development. Inhibits myoblast differentiation (By similarity). Enhances fibroblast growth factor-induced angiogenesis (in vitro).
164,HSPG2,9606.ENSP00000363827,HSPG2,"Basement membrane-specific heparan sulfate proteoglycan core protein; Integral component of basement membranes. Component of the glomerular basement membrane (GBM), responsible for the fixed negative electrostatic membrane charge, and which provides a barrier which is both size- and charge-selective. It serves as an attachment substrate for cells. Plays essential roles in vascularization. Critical for normal heart development and for regulating the vascular response to injury. Also required for avascular cartilage development. The LG3 peptide has anti-angiogenic properties that require [...] "
165,NDP,9606.ENSP00000495811,NDP,"Norrin; Activates the canonical Wnt signaling pathway through FZD4 and LRP5 coreceptor. Plays a central role in retinal vascularization by acting as a ligand for FZD4 that signals via stabilizing beta-catenin (CTNNB1) and activating LEF/TCF-mediated transcriptional programs. Acts in concert with TSPAN12 to activate FZD4 independently of the Wnt- dependent activation of FZD4, suggesting the existence of a Wnt- independent signaling that also promote accumulation the beta-catenin (CTNNB1). May be involved in a pathway that regulates neural cell differentiation and proliferation. Possible [...] "
166,MAP2K1,9606.ENSP00000302486,MAP2K1,"Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Binding of extracellular ligands such as growth factors, cytokines and hormones to their cell-surface receptors activates RAS and this initiates RAF1 activation. RAF1 then further activates the dual-specificity protein kinases MAP2K1/MEK1 and MAP2K2/MEK2. Both MAP2K1/MEK1 and MAP2K2/MEK2 function specifically in the MAPK/ERK cascade, and catalyze the concomitant phosphorylation of a threonine and a tyrosine resid [...] "
167,TEK,9606.ENSP00000369375,TEK,"Angiopoietin-1 receptor; Tyrosine-protein kinase that acts as cell-surface receptor for ANGPT1, ANGPT2 and ANGPT4 and regulates angiogenesis, endothelial cell survival, proliferation, migration, adhesion and cell spreading, reorganization of the actin cytoskeleton, but also maintenance of vascular quiescence. Has anti-inflammatory effects by preventing the leakage of proinflammatory plasma proteins and leukocytes from blood vessels. Required for normal angiogenesis and heart development during embryogenesis. Required for post-natal hematopoiesis. After birth, activates or inhibits angi [...] "
168,CAV1,9606.ENSP00000339191,CAV1,Caveolin-1; May act as a scaffolding protein within caveolar membranes. Forms a stable heterooligomeric complex with CAV2 that targets to lipid rafts and drives caveolae formation. Mediates the recruitment of CAVIN proteins (CAVIN1/2/3/4) to the caveolae. Interacts directly with G-protein alpha subunits and can functionally regulate their activity (By similarity). Involved in the costimulatory signal essential for T-cell receptor (TCR)-mediated T-cell activation. Its binding to DPP4 induces T-cell proliferation and NF-kappa-B activation in a T-cell receptor/CD3-dependent manner. Recrui [...] 
169,TNFAIP2,9606.ENSP00000452634,TNFAIP2,Tumor necrosis factor alpha-induced protein 2; May play a role as a mediator of inflammation and angiogenesis.
170,PTK2,9606.ENSP00000341189,PTK2,"Focal adhesion kinase 1; Non-receptor protein-tyrosine kinase that plays an essential role in regulating cell migration, adhesion, spreading, reorganization of the actin cytoskeleton, formation and disassembly of focal adhesions and cell protrusions, cell cycle progression, cell proliferation and apoptosis. Required for early embryonic development and placenta development. Required for embryonic angiogenesis, normal cardiomyocyte migration and proliferation, and normal heart development. Regulates axon growth and neuronal cell migration, axon branching and synapse formation; required f [...] "
171,BTK,9606.ENSP00000483570,BTK,"Tyrosine-protein kinase BTK; Non-receptor tyrosine kinase indispensable for B lymphocyte development, differentiation and signaling. Binding of antigen to the B-cell antigen receptor (BCR) triggers signaling that ultimately leads to B-cell activation. After BCR engagement and activation at the plasma membrane, phosphorylates PLCG2 at several sites, igniting the downstream signaling pathway through calcium mobilization, followed by activation of the protein kinase C (PKC) family members. PLCG2 phosphorylation is performed in close cooperation with the adapter protein B-cell linker prote [...] "
172,RBPJ,9606.ENSP00000345206,RBPJ,"Recombining binding protein suppressor of hairless; Transcriptional regulator that plays a central role in Notch signaling, a signaling pathway involved in cell-cell communication that regulates a broad spectrum of cell-fate determinations. Acts as a transcriptional repressor when it is not associated with Notch proteins. When associated with some NICD product of Notch proteins (Notch intracellular domain), it acts as a transcriptional activator that activates transcription of Notch target genes. Probably represses or activates transcription via the recruitment of chromatin remodeling  [...] "
173,ENPEP,9606.ENSP00000265162,ENPEP,Glutamyl aminopeptidase; Regulates central hypertension through its calcium-modulated preference to cleave N-terminal acidic residues from peptides such as angiotensin II.
174,MFGE8,9606.ENSP00000268150,MFGE8,Lactadherin short form; Plays an important role in the maintenance of intestinal epithelial homeostasis and the promotion of mucosal healing. Promotes VEGF-dependent neovascularization (By similarity). Contributes to phagocytic removal of apoptotic cells in many tissues. Specific ligand for the alpha-v/beta-3 and alpha-v/beta-5 receptors. Also binds to phosphatidylserine-enriched cell surfaces in a receptor-independent manner. Zona pellucida-binding protein which may play a role in gamete interaction.
175,CD47,9606.ENSP00000355361,CD47,"Leukocyte surface antigen CD47; Has a role in both cell adhesion by acting as an adhesion receptor for THBS1 on platelets, and in the modulation of integrins. Plays an important role in memory formation and synaptic plasticity in the hippocampus (By similarity). Receptor for SIRPA, binding to which prevents maturation of immature dendritic cells and inhibits cytokine production by mature dendritic cells. Interaction with SIRPG mediates cell-cell adhesion, enhances superantigen-dependent T-cell-mediated proliferation and costimulates T-cell activation. May play a role in membrane transp [...] "
176,FAP,9606.ENSP00000188790,FAP,"Antiplasmin-cleaving enzyme FAP, soluble form; Cell surface glycoprotein serine protease that participates in extracellular matrix degradation and involved in many cellular processes including tissue remodeling, fibrosis, wound healing, inflammation and tumor growth. Both plasma membrane and soluble forms exhibit post-proline cleaving endopeptidase activity, with a marked preference for Ala/Ser-Gly-Pro-Ser/Asn/Ala consensus sequences, on substrate such as alpha-2-antiplasmin SERPINF2 and SPRY2. Degrade also gelatin, heat-denatured type I collagen, but not native collagen type I and IV, [...] "
177,AIMP1,9606.ENSP00000378191,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1; Non-catalytic component of the multisynthase complex. Stimulates the catalytic activity of cytoplasmic arginyl-tRNA synthase. Binds tRNA. Possesses inflammatory cytokine activity. Negatively regulates TGF-beta signaling through stabilization of SMURF2 by binding to SMURF2 and inhibiting its SMAD7- mediated degradation (By similarity). Involved in glucose homeostasis through induction of glucagon secretion at low glucose levels (By similarity). Promotes dermal fibroblast proliferation and wound repair. Regulates KDEL [...] 
178,PTPRJ,9606.ENSP00000400010,PTPRJ,"Receptor-type tyrosine-protein phosphatase eta; Tyrosine phosphatase which dephosphorylates or contributes to the dephosphorylation of CTNND1, FLT3, PDGFRB, MET, RET (variant MEN2A), KDR, LYN, SRC, MAPK1, MAPK3, EGFR, TJP1, OCLN, PIK3R1 and PIK3R2. Plays a role in cell adhesion, migration, proliferation and differentiation. Involved in vascular development. Regulator of macrophage adhesion and spreading. Positively affects cell-matrix adhesion. Positive regulator of platelet activation and thrombosis. Negative regulator of cell proliferation. Negative regulator of PDGF- stimulated cell [...] "
179,FOXC1,9606.ENSP00000493906,FOXC1,"Forkhead box protein C1; DNA-binding transcriptional factor that plays a role in a broad range of cellular and developmental processes such as eye, bones, cardiovascular, kidney and skin development. Acts either as a transcriptional activator or repressor. Binds to the consensus binding site 5'- [G/C][A/T]AAA[T/C]AA[A/C]-3' in promoter of target genes. Upon DNA-binding, promotes DNA bending. Acts as a transcriptional coactivator. Stimulates Indian hedgehog (Ihh)-induced target gene expression mediated by the transcription factor GLI2, and hence regulates endochondral ossification (By s [...] "
180,PDE3B,9606.ENSP00000282096,PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B; Cyclic nucleotide phosphodiesterase with a dual-specificity for the second messengers cAMP and cGMP, which are key regulators of many important physiological processes. May play a role in fat metabolism. Regulates cAMP binding of RAPGEF3. Through simultaneous binding to RAPGEF3 and PIK3R6 assembles a signaling complex in which the PI3K gamma complex is activated by RAPGEF3 and which is involved in angiogenesis."
181,ADAM15,9606.ENSP00000349436,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15; Active metalloproteinase with gelatinolytic and collagenolytic activity. Plays a role in the wound healing process. Mediates both heterotypic intraepithelial cell/T-cell interactions and homotypic T-cell aggregation. Inhibits beta-1 integrin-mediated cell adhesion and migration of airway smooth muscle cells. Suppresses cell motility on or towards fibronectin possibly by driving alpha-v/beta-1 integrin (ITAGV-ITGB1) cell surface expression via ERK1/2 inactivation. Cleaves E-cadherin in response to growth factor deprivation. [...] 
182,FZD5,9606.ENSP00000354607,FZD5,"Frizzled-5; Receptor for Wnt proteins. Can activate WNT2, WNT10B, WNT5A, but not WNT2B or WNT4 (in vitro); the in vivo situation may be different since not all of these are known to be coexpressed (By similarity). In neurons, activation of WNT7A promotes formation of synapses. Functions in the canonical Wnt/beta-catenin signaling pathway. The canonical Wnt/beta-catenin signaling pathway leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes (By similarity). A second signaling pathway involving  [...] "
183,GAB1,9606.ENSP00000262995,GAB1,GRB2-associated-binding protein 1; Adapter protein that plays a role in intracellular signaling cascades triggered by activated receptor-type kinases. Plays a role in FGFR1 signaling. Probably involved in signaling by the epidermal growth factor receptor (EGFR) and the insulin receptor (INSR). Involved in the MET/HGF-signaling pathway. Belongs to the GAB family.
184,AAMP,9606.ENSP00000403343,AAMP,"Angio-associated migratory cell protein; Plays a role in angiogenesis and cell migration. In smooth muscle cell migration, may act through the RhoA pathway."
185,KLF5,9606.ENSP00000366915,KLF5,Krueppel-like factor 5; Transcription factor that binds to GC box promoter elements. Activates the transcription of these genes; Belongs to the krueppel C2H2-type zinc-finger protein family.
186,IL18,9606.ENSP00000280357,IL18,"Interleukin-18; A proinflammatory cytokine primarily involved in polarized T- helper 1 (Th1) cell and natural killer (NK) cell immune responses (Probable). Upon binding to IL18R1 and IL18RAP, forms a signaling ternary complex which activates NF-kappa-B, triggering synthesis of inflammatory mediators. Synergizes with IL12/interleukin-12 to induce IFNG synthesis from T-helper 1 (Th1) cells and natural killer (NK) cells (Probable). Belongs to the IL-1 family."
187,VEZF1,9606.ENSP00000462337,VEZF1,Vascular endothelial zinc finger 1; Possible transcription factor. Specifically binds to the CT/GC-rich region of the interleukin-3 promoter and mediates tax transactivation of IL-3; Belongs to the krueppel C2H2-type zinc-finger protein family.
188,PTK2B,9606.ENSP00000380638,PTK2B,"Protein-tyrosine kinase 2-beta; Non-receptor protein-tyrosine kinase that regulates reorganization of the actin cytoskeleton, cell polarization, cell migration, adhesion, spreading and bone remodeling. Plays a role in the regulation of the humoral immune response, and is required for normal levels of marginal B-cells in the spleen and normal migration of splenic B-cells. Required for normal macrophage polarization and migration towards sites of inflammation. Regulates cytoskeleton rearrangement and cell spreading in T-cells, and contributes to the regulation of T-cell responses. Promot [...] "
189,GNA13,9606.ENSP00000400717,GNA13,"Guanine nucleotide-binding protein subunit alpha-13; Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. Activates effector molecule RhoA by binding and activating RhoGEFs (ARHGEF1/p115RhoGEF, ARHGEF11/PDZ-RhoGEF and ARHGEF12/LARG). GNA13-dependent Rho signaling subsequently regulates transcription factor AP-1 (activating protein-1) (By similarity). Promotes tumor cell invasion and metastasis by activating RhoA/ROCK signaling pathway. Inhibits CDH1-mediated cell adhesion in process independent from Rho a [...] "
190,CASP8,9606.ENSP00000351273,CASP8,"Caspase-8 subunit p10; Most upstream protease of the activation cascade of caspases responsible for the TNFRSF6/FAS mediated and TNFRSF1A induced cell death. Binding to the adapter molecule FADD recruits it to either receptor. The resulting aggregate called death-inducing signaling complex (DISC) performs CASP8 proteolytic activation. The active dimeric enzyme is then liberated from the DISC and free to activate downstream apoptotic proteases. Proteolytic fragments of the N-terminal propeptide (termed CAP3, CAP5 and CAP6) are likely retained in the DISC. Cleaves and activates CASP3, CA [...] "
191,PRKD1,9606.ENSP00000390535,PRKD1,"Serine/threonine-protein kinase D1; Serine/threonine-protein kinase that converts transient diacylglycerol (DAG) signals into prolonged physiological effects downstream of PKC, and is involved in the regulation of MAPK8/JNK1 and Ras signaling, Golgi membrane integrity and trafficking, cell survival through NF-kappa-B activation, cell migration, cell differentiation by mediating HDAC7 nuclear export, cell proliferation via MAPK1/3 (ERK1/2) signaling, and plays a role in cardiac hypertrophy, VEGFA-induced angiogenesis, genotoxic-induced apoptosis and flagellin-stimulated inflammatory res [...] "
192,ANGPT1,9606.ENSP00000428340,ANGPT1,"Angiopoietin-1; Binds and activates TEK/TIE2 receptor by inducing its dimerization and tyrosine phosphorylation. Plays an important role in the regulation of angiogenesis, endothelial cell survival, proliferation, migration, adhesion and cell spreading, reorganization of the actin cytoskeleton, but also maintenance of vascular quiescence. Required for normal angiogenesis and heart development during embryogenesis. After birth, activates or inhibits angiogenesis, depending on the context. Inhibits angiogenesis and promotes vascular stability in quiescent vessels, where endothelial cells [...] "
193,SHB,9606.ENSP00000366936,SHB,"SH2 domain-containing adapter protein B; Adapter protein which regulates several signal transduction cascades by linking activated receptors to downstream signaling components. May play a role in angiogenesis by regulating FGFR1, VEGFR2 and PDGFR signaling. May also play a role in T-cell antigen receptor/TCR signaling, interleukin-2 signaling, apoptosis and neuronal cells differentiation by mediating basic-FGF and NGF-induced signaling cascades. May also regulate IRS1 and IRS2 signaling in insulin- producing cells."
194,SHH,9606.ENSP00000297261,SHH,"Sonic hedgehog protein N-product; [Sonic hedgehog protein]: The C-terminal part of the sonic hedgehog protein precursor displays an autoproteolysis and a cholesterol transferase activity (By similarity). Both activities result in the cleavage of the full-length protein into two parts (ShhN and ShhC) followed by the covalent attachment of a cholesterol moiety to the C-terminal of the newly generated ShhN (By similarity). Both activities occur in the reticulum endoplasmic (By similarity). Once cleaved, ShhC is degraded in the endoplasmic reticulum (By similarity)."
195,TGFBI,9606.ENSP00000416330,TGFBI,Transforming growth factor-beta-induced protein ig-h3; Plays a role in cell adhesion. May play a role in cell-collagen interactions (By similarity).
196,MED1,9606.ENSP00000300651,MED1,"Mediator of RNA polymerase II transcription subunit 1; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Acts as a coactivator for [...] "
197,IGFBP7,9606.ENSP00000295666,IGFBP7,Insulin-like growth factor-binding protein 7; Binds IGF-I and IGF-II with a relatively low affinity. Stimulates prostacyclin (PGI2) production. Stimulates cell adhesion.
198,MAPK14,9606.ENSP00000229795,MAPK14,"Mitogen-activated protein kinase 14; Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. MAPK14 is one of the four p38 MAPKs which play an important role in the cascades of cellular responses evoked by extracellular stimuli such as proinflammatory cytokines or physical stress leading to direct activation of transcription factors. Accordingly, p38 MAPKs phosphorylate a broad range of proteins and it has been estimated that they may have approximately 200 to 300 substrates each. Some of the targets are downstream kinases which are a [...] "
199,CALCRL,9606.ENSP00000376177,CALCRL,Calcitonin gene-related peptide type 1 receptor; Receptor for calcitonin-gene-related peptide (CGRP) together with RAMP1 and receptor for adrenomedullin together with RAMP3 (By similarity). Receptor for adrenomedullin together with RAMP2. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.
200,ECM1,9606.ENSP00000358045,ECM1,Extracellular matrix protein 1; Involved in endochondral bone formation as negative regulator of bone mineralization. Stimulates the proliferation of endothelial cells and promotes angiogenesis. Inhibits MMP9 proteolytic activity.
201,HIF1A,9606.ENSP00000437955,HIF1A,"Hypoxia-inducible factor 1-alpha; Functions as a master transcriptional regulator of the adaptive response to hypoxia. Under hypoxic conditions, activates the transcription of over 40 genes, including erythropoietin, glucose transporters, glycolytic enzymes, vascular endothelial growth factor, HILPDA, and other genes whose protein products increase oxygen delivery or facilitate metabolic adaptation to hypoxia. Plays an essential role in embryonic vascularization, tumor angiogenesis and pathophysiology of ischemic disease. Heterodimerizes with ARNT; heterodimer binds to core DNA sequenc [...] "
202,CYP1B1,9606.ENSP00000478561,CYP1B1,"Cytochrome P450 1B1; A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Exhibits catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2- and 4-hydroxy E1 and E2. Displays a predominant hydroxylase activity towar [...] "
203,ECSCR,9606.ENSP00000479243,ECSCR,Endothelial cell-specific chemotaxis regulator; Regulates endothelial chemotaxis and tube formation. Has a role in angiogenesis and apoptosis via modulation of the actin cytoskeleton and facilitation of proteasomal degradation of the apoptosis inhibitors BIRC3/IAP1 and BIRC2/IAP2. Belongs to the ECSCR family.
204,AMOT,9606.ENSP00000361027,AMOT,"Angiomotin; Plays a central role in tight junction maintenance via the complex formed with ARHGAP17, which acts by regulating the uptake of polarity proteins at tight junctions. Appears to regulate endothelial cell migration and tube formation. May also play a role in the assembly of endothelial cell-cell junctions; Belongs to the angiomotin family."
205,ZC3H12A,9606.ENSP00000362179,ZC3H12A,"Endoribonuclease ZC3H12A; Endoribonuclease involved in various biological functions such as cellular inflammatory response and immune homeostasis, glial differentiation of neuroprogenitor cells, cell death of cardiomyocytes, adipogenesis and angiogenesis. Functions as an endoribonuclease involved in mRNA decay. Modulates the inflammatory response by promoting the degradation of a set of translationally active cytokine-induced inflammation-related mRNAs, such as IL6 and IL12B, during the early phase of inflammation. Prevents aberrant T-cell-mediated immune reaction by degradation of mul [...] "
206,TMEM201,9606.ENSP00000344503,TMEM201,Transmembrane protein 201; Involved in nuclear movement during fibroblast polarization and migration. Proposed to be involved in actin-dependent nuclear movement via association with transmembrane actin-associated nuclear (TAN) lines which are bound to F-actin cables and couple the nucleus to retrograde actin flow (By similarity). Overexpression can recruit Ran GTPase to the nuclear periphery. Belongs to the TMEM201 family.
